game_date,team_name,assist_player,assist_min,assist_min_inj
2023-09-09,Colchester United,A. Read,11,
2023-09-16,Crawley Town,N. Tsaroulla,61,
2023-09-16,Crawley Town,A. Henry,90,6
2023-09-16,Tranmere Rovers,S. Taylor,21,
2023-09-16,Tranmere Rovers,B. Walker,66,
2023-09-23,Tranmere Rovers,R. Hendry,49,
2023-09-30,AFC Wimbledon,Omar Bugiel,21,
2023-09-30,AFC Wimbledon,Omar Bugiel,32,
2023-09-30,AFC Wimbledon,A. Little,62,
2023-09-30,AFC Wimbledon,J. Neufville,88,
2023-10-03,Tranmere Rovers,H. Saunders,24,
2023-10-03,Tranmere Rovers,C. Jennings,83,
2023-10-03,Bradford City,B. Halliday,55,
2023-10-07,Tranmere Rovers,H. Saunders,16,
2023-10-07,Tranmere Rovers,C. Wood,61,
2023-10-10,Leicester City U21,Wanya Marçal,9,
2023-10-14,Crewe Alexandra,J. Powell,11,
2023-10-14,Crewe Alexandra,J. Powell,52,
2023-10-20,Tranmere Rovers,R. Apter,70,
2023-10-20,Doncaster Rovers,Z. Westbrooke,27,
2023-10-28,Stockport County,O. Bailey,5,
2023-10-28,Stockport County,K. Wootton,54,
2023-11-04,Stevenage,A. MacDonald,3,
2023-11-04,Stevenage,C. Piergianni,81,
2023-11-04,Tranmere Rovers,J. Turnbull,55,
2023-11-04,Tranmere Rovers,T. Davies,90,1
2023-11-11,Tranmere Rovers,C. Jennings,47,
2023-11-11,Tranmere Rovers,D. Pike,71,
2023-11-25,Tranmere Rovers,B. Walker,53,
2023-11-25,Tranmere Rovers,B. Walker,60,
2023-11-28,Mansfield Town,D. Keillor-Dunn,37,
2023-11-28,Mansfield Town,A. Flint,79,
2023-11-28,Tranmere Rovers,H. Saunders,13,
2023-11-28,Tranmere Rovers,B. Walker,62,
2023-12-09,Tranmere Rovers,C. Wood,57,
2023-12-09,Newport County,A. Wildig,22,
2023-12-16,Walsall,D. Daniels,64,
2023-12-23,Tranmere Rovers,H. Saunders,55,
2023-12-23,Swindon Town,R. Hutton,22,
2023-12-26,Salford City,K. N’Mai,55,
2023-12-26,Tranmere Rovers,K. Morris,12,
2023-12-26,Tranmere Rovers,R. Apter,50,
2023-12-26,Tranmere Rovers,L. O'Connor,64,
2023-12-26,Tranmere Rovers,R. McAlear,90,3
2023-12-29,Tranmere Rovers,C. Jennings,54,
2023-12-29,Tranmere Rovers,R. Hendry,70,
2024-01-01,Tranmere Rovers,C. Jennings,5,
2024-01-01,Tranmere Rovers,L. O'Connor,44,
2024-01-01,Notts County,J. Jones,24,
2024-01-01,Notts County,D. Crowley,29,
2024-01-06,Barrow,E. Newby,80,
2024-01-13,Milton Keynes Dons,M. Williams,9,
2024-01-27,Tranmere Rovers,T. Davies,35,
2024-02-10,Doncaster Rovers,H. Adelakun,15,
2024-02-10,Tranmere Rovers,C. Wood,60,
2024-02-13,Tranmere Rovers,H. Saunders,4,
2024-02-13,Morecambe,J. Larsson,14,
2024-02-13,Morecambe,J. Senior,82,
2024-02-17,Tranmere Rovers,B. Walker,30,
2024-02-17,Tranmere Rovers,B. Walker,63,
2024-02-17,Tranmere Rovers,R. Apter,85,
2024-02-24,Forest Green Rovers,J. Robson,45,1
2024-01-20,Swindon Town,P. Glatzel,23,
2024-01-20,Swindon Town,U. Godwin-Malife,35,
2024-03-02,Tranmere Rovers,C. Jennings,87,
2024-03-09,Gillingham,C. Mahoney,84,
2024-03-12,Tranmere Rovers,K. Morris,12,
2024-03-12,Tranmere Rovers,L. O'Connor,56,
2024-03-12,Mansfield Town,L. Reed,39,
2024-03-23,Tranmere Rovers,R. Apter,21,
2024-03-23,Crawley Town,W. Wright,2,
2024-03-23,Crawley Town,A. Adeyemo,79,
2024-03-29,Bradford City,L. Richards,64,
2024-03-29,Bradford City,C. Kavanagh,69,
2024-04-01,Tranmere Rovers,R. Apter,7,
2024-04-06,Tranmere Rovers,R. Apter,24,
2024-04-06,Walsall,J. Foulkes,45,2
2024-04-06,Walsall,J. Foulkes,68,
2024-04-13,Newport County,H. Bright,20,
2024-04-13,Tranmere Rovers,L. O'Connor,25,
2024-04-13,Tranmere Rovers,H. Saunders,36,
2024-04-20,Tranmere Rovers,L. Norris,45,
2024-04-20,Tranmere Rovers,L. Norris,71,
2024-04-20,AFC Wimbledon,Omar Bugiel,56,
2024-04-20,AFC Wimbledon,Omar Bugiel, 90,5
2024-04-27,Accrington Stanley,J. Nolan,4,
2024-04-27,Accrington Stanley,S. Whalley,53,
2024-04-27,Tranmere Rovers,R. Hendry,2,
2024-08-13,Tranmere Rovers,O. Patrick,3,
2024-08-13,Tranmere Rovers,S. Solomon,71,
2024-08-20,Tranmere Rovers,H. Saunders,11,
2024-08-20,Everton U21,J. Metcalfe,86,
2024-08-20,Everton U21,J. Lindstrøm,90,2
2024-08-20,Everton U21,Beto,90,5
2024-08-24,Tranmere Rovers,J. Turnbull,13,
2024-08-27,Leicester City,H. Winks,38,
2024-08-27,Leicester City,J. Ayew,71,
2024-08-27,Leicester City,H. Choudhury,90,
2024-08-31,Carlisle United,D. Adu-Adjei,7,
2024-08-31,Tranmere Rovers,Z. Bradshaw,6,
2024-08-31,Tranmere Rovers,C. Jennings,37,
2024-09-14,Gillingham,R. Hutton,48,
2024-09-14,Gillingham,M. Wyllie,82,
2024-09-21,Colchester United,S. Tovide,7,
2024-09-21,Colchester United,O. Edwards,38,
2024-09-21,Colchester United,J. Payne,78,
2024-10-05,Milton Keynes Dons,L. Maguire,23,
2024-10-05,Tranmere Rovers,C. Norman,90,1
2024-10-08,Tranmere Rovers,J. Murphy,49,
2024-10-08,Tranmere Rovers,K. Morris,75,
2024-10-08,Accrington Stanley,J. Knowles,90,
2024-10-12,Bradford City,C. Diabate,23,
2024-10-12,Bradford City,C. Kavanagh,72,
2024-10-19,Bromley,I. Odutayo,90,6
2024-10-19,Tranmere Rovers,B. Walker,75,
2024-10-26,Crewe Alexandra,R. Cooney,39,
2024-10-26,Crewe Alexandra,R. Cooney,54,
2024-10-26,Crewe Alexandra,O. Bogle,84,
2024-10-26,Tranmere Rovers,H. Saunders,8,
2024-11-02,Tranmere Rovers,K. Morris,9,
2024-11-02,Oldham Athletic,S. Clucas,39,
2024-11-02,Oldham Athletic,T. Conlon,61,
2024-11-09,Tranmere Rovers,C. Wood,41,
2024-11-09,Newport County,B. Morris,84,
2024-11-12,Tranmere Rovers,T. Davies,21,
2024-11-12,Tranmere Rovers,C. Jennings,39,
2024-11-22,Cheltenham Town,S. Stubbs,89,
2024-11-26,AFC Wimbledon,C. Maycock,37,
2024-11-26,AFC Wimbledon,J. Tilley,53,
2024-12-03,Tranmere Rovers,J. Hawkes,48,
2024-12-03,Tranmere Rovers,S. Finley,75,
2024-12-03,Morecambe,L. Hendrie,50,
2024-12-07,Chesterfield,L. Mandeville,29,
2024-12-07,Chesterfield,D. Markanday,44,
2024-12-07,Chesterfield,J. Berry-McNally,86,
2024-12-10,Rotherham United,J. Powell,48,
2024-12-10,Tranmere Rovers,O. Patrick,85,
2024-12-14,Tranmere Rovers,L. O'Connor,25,
2024-12-14,Tranmere Rovers,C. Jennings,67,
2024-12-21,Doncaster Rovers,J. McGrath,38,
2024-12-21,Doncaster Rovers,L. Molyneux,66,
2024-12-21,Doncaster Rovers,G. Broadbent,77,
2024-12-21,Tranmere Rovers,J. Davison,83,
2025-01-01,Morecambe,M. Dackers,72,
2025-01-01,Morecambe,Y. Songo'o,84,
2025-01-04,Tranmere Rovers,K. Morris,23,
2025-01-11,Walsall,T. Allen,15,
2025-01-11,Walsall,T. Allen,22,
2025-01-11,Walsall,N. Lowe,72,
2025-01-11,Walsall,A. Adomah,80,
2025-01-18,AFC Wimbledon,M. Stevens,48,
2025-01-25,Tranmere Rovers,O. Patrick,17,
2025-01-28,Swindon Town,K. Tshimanga,87,
2025-01-28,Tranmere Rovers,C. Norman,7,
2025-02-01,Tranmere Rovers,O. Patrick,50,
2025-02-01,Colchester United,J. Payne,33,
2025-02-01,Colchester United,E. Iandolo,63,
2025-02-08,Salford City,T. Fornah,61,
2025-02-22,Notts County,M. Traoré,80,
2025-02-22,Notts County,M. Traoré,83,
2025-02-22,Tranmere Rovers,C. Merrie,88,
2025-03-01,Tranmere Rovers,R. Hendry,18,
2025-03-01,Port Vale,K. John,29,
2025-03-04,Tranmere Rovers,C. Jennings,10,
2025-03-08,Tranmere Rovers,R. Hendry,32,
2025-03-08,Tranmere Rovers,R. Hendry,70,
2025-03-08,Bromley,B. Ilunga,27,
2025-03-28,Tranmere Rovers,J. Hawkes,25,
