game_date,player_name,shirt_no,role
2024-10-22,Luke McGee,1,starter
2024-10-22,Cameron Norman,2,starter
2024-10-22,Tom Davies,5,starter
2024-10-22,Jordan Turnbull,6,starter
2024-10-22,Kieron Morris,7,starter
2024-10-22,Luke Norris,9,starter
2024-10-22,Sam Finley,17,starter
2024-10-22,Samuel Taylor,20,starter
2024-10-22,Lee O'Connor,22,starter
2024-10-22,Connor Wood,23,starter
2024-10-22,Omari Patrick,30,starter
2024-10-22,Regan Hendry,8,sub
2024-10-22,Josh Hawkes,11,sub
2024-10-22,Connor Jennings,18,sub
2024-10-22,Harvey Saunders,19,sub
